index,time_range,text,google_translate,claude_translation
14,"00:00:49,900 --> 00:00:52,600","We learned that we're made of many little dead things,","Մենք իմացանք, որ մենք պատրաստված ենք շատ փոքր մեռած իրերից,","Մենք իմացանք, որ կազմված ենք բազմաթիվ փոքր մեռած բաներից,"
15,"00:00:52,600 --> 00:00:55,680","which make up bigger things that are not dead, for some reason,","որոնք կազմում են ավելի մեծ բաներ, որոնք ինչ-ինչ պատճառներով մեռած չեն,","որոնք կազմում են ավելի մեծ բաներ, որոնք, ինչ-որ պատճառով, մեռած չեն,"
16,"00:00:55,680 --> 00:01:01,380",and that we're just another temporary stage in a history going back over a billion years.,"Եվ որ մենք պարզապես մեկ այլ ժամանակավոր փուլ ենք, ավելի քան մեկ միլիարդ տարի վերադառնալու պատմության մեջ:",և որ մենք պարզապես մեկ այլ ժամանակավոր փուլ ենք ավելի քան մեկ միլիարդ տարի առաջ սկսված պատմության մեջ։
17,"00:01:01,380 --> 00:01:06,320","We learned, in awe, that we live on a moist speck of dust moving around a medium-sized star","Մենք սովորեցինք, վախի մեջ, որ մենք ապրում ենք փոշու խոնավ բծերի վրա, որը շարժվում է միջին չափի աստղի շուրջը","Մենք զարմանքով իմացանք, որ ապրում ենք խոնավ փոշեհատիկի վրա, որը պտտվում է միջին չափի աստղի շուրջ:"
18,"00:01:06,320 --> 00:01:11,840","in a quiet region of one arm of an average galaxy, which is part of a galaxy group that we will never leave.","Միջին գալակտիկայի մեկ ձեռքի հանգիստ շրջանում, որը գալակտիկայի խմբի մի մասն է, որը մենք երբեք չենք հեռանա:","Միջին չափի գալակտիկայի մեկ թևի հանգիստ տարածքում, որը մաս է կազմում գալակտիկական խմբի, որը մենք երբեք չենք լքի։"
19,"00:01:11,840 --> 00:01:16,720","And this group is only one of thousands that, together, make up a galaxy supercluster.","Եվ այս խումբը հազարից միայն մեկն է, որ միասին կազմում է գալակտիկայի սուպերլաստեր:","Եվ այս խումբը միայն հազարավոր խմբերից մեկն է, որոնք միասին կազմում են գալակտիկաների գերկույտ։"
20,"00:01:16,720 --> 00:01:22,860",But even our supercluster is only one in thousands that make up what we call the observable universe.,"Բայց նույնիսկ մեր սուպերմարկետը հազարավոր մարդիկ են, որոնք կազմում են այն, ինչ մենք անվանում ենք դիտորդ տիեզերք:","Սակայն նույնիսկ մեր գերկույտը միայն մեկն է հազարավորների մեջ, որոնք կազմում են այն, ինչ մենք անվանում ենք դիտելի տիեզերք:"
21,"00:01:22,860 --> 00:01:27,580","The universe might be a million times bigger, but we will never know.","Տիեզերքը կարող է միլիոն անգամ ավելի մեծ լինել, բայց մենք երբեք չենք իմանա:","Տիեզերքը կարող է մեկ միլիոն անգամ ավելի մեծ լինել, բայց մենք երբեք չենք իմանա:"
22,"00:01:27,580 --> 00:01:30,740",We can throw words around like two hundred million galaxies,Մենք կարող ենք բառեր նետել երկու հարյուր միլիոն գալակտիկաների նման,"Մենք կարող ենք բառեր նետել այնպես, ինչպես երկու հարյուր միլիոն գալակտիկաներ"
23,"00:01:30,740 --> 00:01:33,560","or trillions of stars or bazillions of planets,","կամ տրիլիոններ աստղեր կամ մոլորակների բազիլիոններ,","Հազարավոր աստղեր կամ բազմաթիվ մոլորակներ,"
24,"00:01:33,560 --> 00:01:38,240",but all of these numbers mean nothing. Our brains can't comprehend these concepts.,Բայց այս բոլոր համարները ոչինչ չեն նշանակում: Մեր ուղեղը չի կարող հասկանալ այս հասկացությունները:,բայց բոլոր այս թվերը ոչինչ չեն նշանակում։ Մեր ուղեղները չեն կարող ընկալել այս հասկացությունները։
25,"00:01:38,240 --> 00:01:42,000",The universe is too big. There is too much of it.,Տիեզերքը չափազանց մեծ է: Դրանից շատ բան կա:,Տիեզերքը շատ մեծ է: Այն չափազանց ընդարձակ է:
26,"00:01:42,000 --> 00:01:45,520",But size is not the most troubling concept we have to deal with.,"Բայց չափը ամենաուշակալի գաղափարը չէ, որի հետ մենք պետք է գործ ունենանք:","Բայց չափը չէ այն ամենաանհանգստացնող հասկացությունը, որի հետ մենք պետք է գործ ունենանք:"
27,"00:01:45,520 --> 00:01:49,380","It's time, or, more precisely, the time we have.","Ժամանակն է, կամ ավելի ճիշտ, մեր ունեցած ժամանակը:","Ժամանակն է, կամ, ավելի ճիշտ, այն ժամանակը, որ մենք ունենք։"
28,"00:01:49,960 --> 00:01:51,960","If you're lucky enough to live to one hundred,","Եթե ​​բավականաչափ հաջողակ եք ապրելու հարյուր,","Եթե այնքան բախտավոր ես, որ ապրում ես մինչև հարյուր տարեկան,"
29,"00:01:51,960 --> 00:01:55,120",you have five thousand two hundred weeks at your disposal.,Ձեր տրամադրության տակ ունեք հինգ հազար երկու հարյուր շաբաթ:,Դուք ունեք հինգ հազար երկու հարյուր շաբաթ ձեր տրամադրության տակ։
30,"00:01:55,120 --> 00:01:59,960","If you're twenty-five now, then you have three thousand nine hundred weeks left.","Եթե ​​հիմա քսանհինգ տարեկան եք, ապա մնացել եք երեք հազար ինը հարյուր շաբաթ:","Եթե դու հիմա քսանհինգ տարեկան ես, ապա քեզ մնացել է երեք հազար ինը հարյուր շաբաթ:"
31,"00:01:59,960 --> 00:02:05,800","If you're going to die at seventy, then there are two thousand three hundred and forty weeks left -","Եթե ​​դուք կմեռնեք յոթանասունից, ապա մնացել է երկու հազար երեք հարյուր քառասուն շաբաթ:","Եթե պատրաստվում եք մահանալ յոթանասուն տարեկանում, ապա մնացել է երկու հազար երեք հարյուր քառասուն շաբաթ -"
32,"00:02:05,800 --> 00:02:08,760","a lot of time, but also ... not really.","Շատ ժամանակ, բայց նաեւ ... իրականում:","շատ ժամանակ, բայց նաև... ոչ այնքան։

This translation maintains both the meaning and the casual tone of the original phrase. The ""..."" is kept to preserve the pause in thought, and ""ոչ այնքան"" captures the meaning of ""not really"" in this context."
33,"00:02:09,460 --> 00:02:10,700",And then what?,Եվ հետո ինչ:,Հետո ի՞նչ:
34,"00:02:10,940 --> 00:02:13,740","Your biological processes will break down,","Ձեր կենսաբանական գործընթացները կխորտակվեն,","Ձեր կենսաբանական գործընթացները կքայքայվեն,"
35,"00:02:13,740 --> 00:02:17,060",and the dynamic pattern that is you will stop beinge dynamic.,"Եվ դինամիկ օրինակը, որը դուք կդադարեցնեք դինամիկ մնալ:","Եվ այն դինամիկ օրինաչափությունը, որը դուք եք, կդադարի լինել դինամիկ:"
36,"00:02:17,060 --> 00:02:20,580",It will dissolve until there is no you left.,"Դա կվերածվի այնքան ժամանակ, քանի դեռ չեք մնացել:",Այն կլուծվի մինչև որ դու այլևս չես մնա:
37,"00:02:20,580 --> 00:02:23,935","Some believe that there is a part of us we can't see or measure,","Ոմանք կարծում են, որ մեզանից մի մասը մենք չենք կարող տեսնել կամ չափել,","Ոմանք հավատում են, որ մեր մեջ կա մի մաս, որը մենք չենք կարող տեսնել կամ չափել,"
38,"00:02:23,940 --> 00:02:28,220","but we have no way to find out, so this life might be it","Բայց մենք պարզելու միջոց չենք, ուստի այս կյանքը կարող է լինել","Բայց մենք չունենք դա իմանալու հնարավորություն, այնպես որ հնարավոր է սա է միակ կյանքը"
39,"00:02:28,220 --> 00:02:30,800",and we might end up dead forever.,Եվ մենք կարող ենք հավերժ մեռել:,Եվ մենք կարող է հավերժ մեռած մնանք։
40,"00:02:30,800 --> 00:02:33,180","This is less scary than it sounds, though.","Սա պակաս սարսափելի է, քան հնչում է:","Սա այնքան վախենալու չէ, որքան հնչում է:"
41,"00:02:33,180 --> 00:02:37,720","If you don't remember the 13.75 billion years that went by before you existed,","Եթե ​​դուք չեք հիշում 13,75 միլիարդ տարի, որը անցել է նախքան գոյություն ունենալը,","Եթե դու չես հիշում այն 13.75 միլիարդ տարիները, որոնք անցել են մինչև քո գոյությունը,"
42,"00:02:37,720 --> 00:02:43,980",Then the trillions and trillions and trillions of years that come after will pass in no time once you're gone.,"Ապա տհաճ ու տրիլիոններ եւ տրիլիոններ եւ տհաճ տարիներ, որոնք տեղի են ունենում այն ​​բանից հետո, երբ դուք չեք անցնի:","Հետո տրիլիոնավոր ու տրիլիոնավոր և տրիլիոնավոր տարիները, որոնք գալու են, կանցնեն մի ակնթարթում, երբ դու արդեն չես լինի:"
43,"00:02:43,980 --> 00:02:46,840",Close your eyes. Count to 1.,Փակեք ձեր աչքերը: Հաշվել 1-ին:,Փակիր աչքերդ։ Հաշվիր մինչև 1։
44,"00:02:47,400 --> 00:02:49,560",That's how long forever feels.,Դա ինչքան է զգում ընդմիշտ:,Ահա թե ինչպես է հավերժությունը զգացվում։
45,"00:02:49,980 --> 00:02:55,680","And as far as we know, in the end, the universe itself will die and nothing will ever change again.","Եվ որքանով մենք գիտենք, վերջում տիեզերքն ինքնին կմեռնի, եւ ոչինչ այլեւս ոչինչ չի փոխվի:","Եվ որքանով մենք գիտենք, ի վերջո, տիեզերքն ինքը կմահանա, և այլևս ոչինչ չի փոխվի:"
46,"00:02:56,380 --> 00:02:59,320","Our videos induce existential dread in many people,","Մեր տեսանյութերը շատ մարդկանց մեջ առաջացնում են գոյություն ունեցող վախ,",Մեր տեսանյութերը շատ մարդկանց մոտ առաջացնում են գոյաբանական սարսափ։
47,"00:02:59,320 --> 00:03:01,560",and the last few minutes probably haven't helped.,"Եվ վերջին մի քանի րոպեները, հավանաբար, չեն օգնել:",Եվ վերջին մի քանի րոպեները հավանաբար չեն օգնել:
48,"00:03:01,880 --> 00:03:05,380","So, for once, we want to offer a different way of looking at these things:","Այսպիսով, մեկ անգամ մենք ուզում ենք այլ կերպ առաջարկել այս բաները նայելու համար.","Այսպիսով, առաջին անգամ մենք ցանկանում ենք առաջարկել այս ամենին նայելու մեկ այլ տեսանկյուն:"
49,"00:03:05,380 --> 00:03:10,760","an unscientific, subjective point of view, the philosophy of Kurzgesagt, if you want.","Եթե ​​ցանկանում եք, քրտնաջան, սուբյեկտիվ տեսակետ, Kurzgesagt- ի փիլիսոփայությունը:","Ոչ գիտական, սուբյեկտիվ տեսանկյունից, Kurzgesagt-ի փիլիսոփայությունը, եթե կուզեք:"
50,"00:03:10,760 --> 00:03:15,540",Please take it with a grain of salt; we don't know any more about human existence than you do.,"Խնդրում ենք վերցնել այն հացահատիկով աղով. Մենք այլեւս չգիտենք մարդկային գոյության մասին, քան դուք:",Ընդունեք այս ամենը որոշակի վերապահումով. մենք մարդկային գոյության մասին ձեզանից ավելին չգիտենք։
51,"00:03:15,540 --> 00:03:19,780",We counter existential dread with optimistic nihilism.,"Մենք հակասում ենք գոյություն ունեցող վախի, լավատեսական նիհիլիզմով:",Մենք գոյաբանական վախի դեմ պայքարում ենք լավատեսական նիհիլիզմով։
52,"00:03:19,780 --> 00:03:21,360",What do we mean by that?,Ինչ նկատի ունենք դրանով:,Ի՞նչ ենք մենք նկատի ունենում դրանով:
53,"00:03:21,880 --> 00:03:28,240","Well, to summarize, it seems very unlikely that 200 trillion trillion stars have been made for us.","Դե, ամփոփելու համար, կարծես թե շատ քիչ հավանական է, որ 200 տրիլիոն տրիլիոն աստղ արվել է մեզ համար:","Ամփոփելով, շատ անհավանական է թվում, որ 200 տրիլիոն տրիլիոն աստղերը ստեղծվել են մեզ համար։"
54,"00:03:28,240 --> 00:03:31,980","In a way, it feels like the cruelest joke in existence has been played on us.","Ինչ-որ կերպ զգում է, որ մեզ վրա խաղացել են գոյության դաժան կատակներ:","Մի տեսակ զգացվում է, որ մեզ հետ տիեզերքի ամենադաժան կատակն է արվել։"
55,"00:03:31,980 --> 00:03:36,440",We became self-aware only to realize this story is not about us.,Մենք ինքնասիրահարվեցինք միայն այս պատմությունը գիտակցելու համար մեր մասին չէ:,"«Մենք ինքնագիտակցություն ձեռք բերեցինք միայն հասկանալու համար, որ այս պատմությունը մեր մասին չէ»:"
56,"00:03:36,440 --> 00:03:40,000","While it is great to know about electrons and the powerhouse of the cell,","Թեեւ շատ լավ է իմանալ բջիջի էլեկտրոնների եւ էլեկտրակայանի մասին,","Թեև հիանալի է իմանալ էլեկտրոնների և բջջի էներգիայի կենտրոնի մասին,"
57,"00:03:40,000 --> 00:03:43,200",Science doesn't do a lot to make this less depressing.,Գիտությունը շատ բան չի անում այս պակաս ճնշող դարձնելու համար:,Գիտությունը շատ բան չի անում սա ավելի քիչ ընկճող դարձնելու համար։
58,"00:03:43,620 --> 00:03:45,660","Okay, but so what?","Լավ, բայց ինչ?","Լավ, բայց հետո ի՞նչ:"
59,"00:03:45,660 --> 00:03:49,920","You only get one shot at life, which is scary, but it also sets you free.","Դուք միայն մեկ կրակոց եք ստանում կյանքում, ինչը սարսափելի է, բայց այն նաեւ ձեզ ազատ է դնում:","Կյանքում դու ունես միայն մեկ հնարավորություն, ինչը վախեցնող է, բայց միևնույն ժամանակ ազատություն է տալիս քեզ։"
60,"00:03:50,280 --> 00:03:55,580","If the universe ends in heat death, every humiliation you suffer in your life will be forgotten.","Եթե ​​տիեզերքն ավարտվի ջերմության մեջ, ձեր կյանքի մեջ տառապող յուրաքանչյուր նվաստացում կմղչի:","Եթե տիեզերքը ավարտվի ջերմային մահով, ձեր կյանքում կրած բոլոր նվաստացումները կմոռացվեն:"
61,"00:03:55,580 --> 00:03:58,700",Every mistake you made will not matter in the end.,Վերջում ձեր կատարած յուրաքանչյուր սխալ նշանակություն չունի:,Վերջում քո արած ամեն սխալ նշանակություն չի ունենա։
62,"00:03:58,700 --> 00:04:01,600",Every bad thing you did will be voided.,Ձեր արած յուրաքանչյուր վատ բան կհեռացվի:,Քո արած բոլոր վատ բաները կչեղարկվեն։
63,"00:04:01,600 --> 00:04:06,460","If our life is all we get to experience, then it's the only thing that matters.","Եթե ​​մեր կյանքը այն ամենն է, ինչ մենք զգում ենք, ապա դա միակ բանն է, որ կարեւոր է:","Եթե մեր կյանքը միակ բանն է, որ մեզ տրված է ապրել, ապա դա միակ բանն է, որն իսկապես կարևոր է։"
64,"00:04:06,460 --> 00:04:11,580","If the universe has no principles, the only principles relevant are the ones we decide on.","Եթե ​​տիեզերքը չունի սկզբունքներ, ապա միակ սկզբունքներն են, որոնց մասին մենք որոշում ենք:","Here's the Armenian translation:

Եթե տիեզերքը սկզբունքներ չունի, միակ կարևոր սկզբունքները նրանք են, որոնք մենք ենք որոշում։

Transliteration (in Latin letters):
Yete tiezerqə skzbunqner chuni, miak karevor skzbunqnerə nranq en, voronq menq enq voroshum."
65,"00:04:11,580 --> 00:04:16,240","If the universe has no purpose, then we get to dictate what its purpose is.","Եթե ​​տիեզերքը նպատակ չունի, ապա մենք պետք է թելադրենք, թե որն է դրա նպատակը:","Եթե տիեզերքը նպատակ չունի, ապա մենք կարող ենք որոշել, թե ինչ է նրա նպատակը:"
66,"00:04:16,240 --> 00:04:20,040","Humans will most certainly cease to exist at some point,","Մարդիկ, անշուշտ, կդադարեն ինչ-որ պահի գոյություն ունենալ,","Մարդիկ անկասկած ինչ-որ պահի կդադարեն գոյություն ունենալ,"
67,"00:04:20,040 --> 00:04:24,560","but before we do, we get to explore ourselves and the world around us.","Բայց նախքան մենք անենք, մենք պետք է ուսումնասիրենք մեր եւ մեր շրջապատի աշխարհը:","Բայց մինչ այդ, մենք հնարավորություն ունենք ուսումնասիրել ինքներս մեզ և մեր շրջապատող աշխարհը։"
68,"00:04:24,560 --> 00:04:30,960","We get to experience feelings. We get to experience food, books, sunrises, and being with each other.","Մենք ստանում ենք զգացմունքներ զգալու համար: Մենք ստանում ենք զգալու սնունդ, գրքեր, արեւածագ եւ միմյանց հետ լինելը:","Մենք հնարավորություն ունենք զգացմունքներ ապրել: Մենք հնարավորություն ունենք վայելել ուտելիքը, գրքերը, արևածագը և միմյանց հետ լինելը:"
69,"00:04:30,960 --> 00:04:35,920",The fact that we're even able to think about these things is already kind of incredible.,"Այն փաստը, որ մենք նույնիսկ կարողանում ենք մտածել այս բաների մասին, արդեն անհավատալի է:","Այն փաստը, որ մենք նույնիսկ կարող ենք մտածել այս բաների մասին, արդեն իսկ զարմանալի է։"
70,"00:04:35,920 --> 00:04:40,840","It's easy to think of ourselves as separated from everything, but this is not true.","Հեշտ է մտածել ինքներս մեզ մասին, ինչպես ամեն ինչից առանձնացված, բայց դա ճիշտ չէ:","Հեշտ է մտածել, որ մենք առանձնացված ենք ամեն ինչից, բայց դա ճիշտ չէ։"
71,"00:04:40,840 --> 00:04:43,780",We are as much the universe as a neutron star,"Մենք նույնքան տիեզերքն ենք, որքան նեյտրոնային աստղը","Մենք նույնքան տիեզերք ենք, որքան նեյտրոնային աստղը"
72,"00:04:43,780 --> 00:04:45,980",or a black hole or a nebula.,կամ սեւ անցք կամ միգամածություն:,"Թարգմանությունը՝

սև խոռոչի կամ միգամածության համար:"
73,"00:04:45,980 --> 00:04:49,455","Even better, actually, we are its thinking and feeling part:","Նույնիսկ ավելի լավ է, իրականում մենք նրա մտածելակերպն ենք եւ զգում ենք.","Ավելի լավ է, իրականում, մենք հանդիսանում ենք դրա մտածող և զգացող մասը:"
74,"00:04:49,460 --> 00:04:52,060",the centre organs of the universe.,տիեզերքի կենտրոնական օրգանները:,Տիեզերքի կենտրոնական օրգանները։
75,"00:04:52,060 --> 00:04:55,435","We are truly free in a universe-sized playground,","Մենք իսկապես ազատ ենք տիեզերքի չափի խաղահրապարակում,",Մենք իսկապես ազատ ենք տիեզերքի չափ խաղահրապարակում:
76,"00:04:55,440 --> 00:05:00,400",so we might as well aim to be happy and to build some kind of utopia in the stars.,"Այսպիսով, մենք կարող ենք նաեւ նպատակ ունենալ երջանիկ լինել եւ աստղերում կառուցել ինչ-որ ուտոպիա:","Այսպիսով, մենք կարող ենք նպատակ դնել երջանիկ լինել և աստղերում ինչ-որ ուտոպիա կառուցել:"
77,"00:05:00,400 --> 00:05:03,400",It's not as if we've found out everything there is to know,"Ասես մենք պարզեցինք, որ ամեն ինչ կա իմանալու համար","Translation to Armenian:

Չէ որ մենք չենք հայտնաբերել ամեն ինչ, ինչ հնարավոր է իմանալ։

Note: This is a fairly literal translation that maintains the meaning of the English phrase. You could also say ""Չէ որ մենք դեռ ամեն ինչ չգիտենք"" which is slightly more colloquial but conveys the same general meaning."
78,"00:05:03,400 --> 00:05:06,140","We don't know why the rules of the universe are as they are,","Մենք չգիտենք, թե ինչու են տիեզերքի կանոնները այնպես, ինչպես կան,","Մենք չգիտենք, թե ինչու են տիեզերքի օրենքները այնպիսին, ինչպիսին կան,"
79,"00:05:06,140 --> 00:05:09,540","how life came into existence, what life is.","Ինչպես է կյանքը գոյություն ունեցել, ինչ կյանք է:","Here's the Armenian translation:

Ինչպես է կյանքը առաջացել, ինչ է կյանքը։

Pronunciation:
Inchpes e kyanke arrajatsel, inch e kyanke.

This is a direct translation of the philosophical question about the origin and nature of life. The Armenian version maintains the same contemplative tone as the English original."
80,"00:05:09,540 --> 00:05:14,560",We have no idea what consciousness is or if we are alone in the universe.,"Մենք գաղափար չունենք, թե ինչ գիտակցություն է, կամ եթե մենք միայնակ ենք տիեզերքում:","Մենք գաղափար չունենք, թե ինչ է գիտակցությունը կամ արդյոք մենք միայնակ ենք տիեզերքում։"
81,"00:05:14,560 --> 00:05:17,060",But we can try to find some answers.,Բայց մենք կարող ենք փորձել գտնել որոշ պատասխաններ:,Բայց մենք կարող ենք փորձել գտնել որոշ պատասխաններ։
82,"00:05:17,540 --> 00:05:20,980","There are billions of stars to visit, diseases to cure,","Այցելելու համար կան միլիարդավոր աստղեր, բուժելու հիվանդություններ,","Կան միլիարդավոր աստղեր այցելելու համար, հիվանդություններ՝ բուժելու համար,"
83,"00:05:20,980 --> 00:05:23,920","people to help, happy feelings to be experienced,","Մարդիկ օգնում են, երջանիկ զգացմունքներ, որոնք պետք է փորձառու լինեն,","մարդկանց օգնելու համար, երջանիկ զգացողություններ ապրելու համար"
84,"00:05:23,920 --> 00:05:25,900",and video games to finish.,եւ տեսախաղերը ավարտելու համար:,եւ վիդեո խաղեր ավարտելու համար։
85,"00:05:25,900 --> 00:05:28,160",There is so much to do.,Դա շատ անելիքներ կան:,Այնքան շատ անելիք կա։
86,"00:05:28,160 --> 00:05:32,940","So, wrapping up, you've probably used up a good chunk of the time available to you.","Այսպիսով, փաթաթվելով, դուք հավանաբար օգտագործել եք ձեզ համար մատչելի ժամանակի լավ կտոր:","Այսպիսով, ամփոփելով, դուք հավանաբար սպառել եք ձեր տրամադրության տակ եղած ժամանակի մեծ մասը:"
87,"00:05:32,940 --> 00:05:37,040","If this is our one shot at life, there is no reason not to have fun","Եթե ​​սա մեր մեկ կրակոցն է կյանքում, ապա պատճառ չկա զվարճանալու համար","Here's the Armenian translation:

Եթե սա մեր կյանքի միակ հնարավորությունն է, չկա պատճառ չզվարճանալու։

Transliteration (using Latin alphabet):
Yete sa mer kyanki miak hnaravorutyunn e, chka patchaṟ chzvarṭanalu."
88,"00:05:37,040 --> 00:05:38,840",and live as happy as possible.,եւ ապրեք հնարավորինս երջանիկ:,և ապրեք որքան հնարավոր է երջանիկ։
89,"00:05:39,460 --> 00:05:42,400",Bonus points if you made the life of other people better.,"Բոնուսային միավորներ, եթե ավելի լավ եք դարձրել այլ մարդկանց կյանքը:","Լրացուցիչ միավորներ, եթե դուք լավացրել եք այլ մարդկանց կյանքը։"
90,"00:05:42,400 --> 00:05:45,980",More bonus points if you help build a galactic human empire.,"Ավելի շատ բոնուսային միավորներ, եթե օգնում եք ստեղծել գալակտիկական մարդկային կայսրություն:","Լրացուցիչ միավորներ, եթե օգնեք կառուցել գալակտիկ մարդկային կայսրություն։"
91,"00:05:46,680 --> 00:05:49,320",Do the things that make you feel good.,"Կատարեք այն բաները, որոնք ձեզ լավ են զգում:","Արեք այն բաները, որոնք ձեզ լավ են զգացնում։"
